Dataset ID,Name,Description
300,isolet,"**Author**: Ron Cole and Mark Fanty (cole@cse.ogi.edu, fanty@cse.ogi.edu)  
**Donor**: Tom Dietterich (tgd@cs.orst.edu)  
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/ISOLET)   
**Please cite**: UCI  

### Description

ISOLET (Isolated Letter Speech Recognition) dataset was generated as follows: 150 subjects spoke the name of each letter of the alphabet twice. Hence, there are 52 training examples from each speaker. The speakers are grouped into sets of 30 speakers each, 4 groups can serve as training set, the last group as the test set. A total of 3 examples are missing, the authors dropped them due to difficulties in recording. 

This is a good domain for a noisy, perceptual task. It is also a very good domain for testing the scaling abilities of algorithms. For example, C4.5 on this domain is slower than backpropagation!

### Source

* Creators: 
Ron Cole and Mark Fanty 
Department of Computer Science and Engineering, 
Oregon Graduate Institute, Beaverton, OR 97006. 
cole '@' cse.ogi.edu, fanty '@' cse.ogi.edu 

* Donor: 
Tom Dietterich 
Department of Computer Science 
Oregon State University, Corvallis, OR 97331 
tgd '@' cs.orst.edu

### Attributes Information
  
All attributes are continuous, real-valued attributes scaled into the range -1.0 to 1.0. The features are described in the paper by Cole and Fanty cited below. 
The features include spectral coefficients; contour features, sonorant features, pre-sonorant features, and post-sonorant features. The exact order of appearance of the features is not known.

### Relevant papers

Fanty, M., Cole, R. (1991).  Spoken letter recognition.  
In Lippman, R. P., Moody, J., and Touretzky, D. S. (Eds). Advances in Neural Information Processing Systems 3.  San Mateo, CA: Morgan Kaufmann.

Dietterich, T. G., Bakiri, G. (1991)  Error-correcting output codes: A general method for improving multiclass inductive learning programs.  
Proceedings of the Ninth National Conference on Artificial Intelligence (AAAI-91), Anaheim, CA: AAAI Press.

Dietterich, T. G., Bakiri, G. (1994) Solving Multiclass Learning Problems via Error-Correcting Output Codes."
301,ozone_level,"**Author**:   
**Source**: Unknown -   
**Please cite**:   

1. Title: Ozone Level Detection
2. Source:
Kun Zhang
zhang.kun05 '@' gmail.com
Department of Computer Science, 
Xavier University of Lousiana

Wei Fan
wei.fan '@' gmail.com
IBM T.J.Watson Research

XiaoJing Yuan
xyuan '@' uh.edu
Engineering Technology Department, 
College of Technology, University of Houston 

3. Past Usage:
Forecasting skewed biased stochastic ozone days: analyses, solutions and beyond, Knowledge and Information Systems, Vol. 14, No. 3, 2008.
Discusses details about the dataset, its use as well as various experiments (both cross-validation and streaming) using many state-of-the-art methods.

A shorter version of the paper (does not contain some detailed experiments as the journal paper above) is in:
Forecasting Skewed Biased Stochastic Ozone Days: Analyses and Solutions. ICDM 2006: 753-764 

4. Relevant Information:
The following are specifications for several most important attributes 
that are highly valued by Texas Commission on Environmental Quality (TCEQ). 
More details can be found in the two relevant papers.
 
-- O 3 - Local ozone peak prediction
-- Upwind - Upwind ozone background level
-- EmFactor - Precursor emissions related factor
-- Tmax - Maximum temperature in degrees F
-- Tb - Base temperature where net ozone production begins (50 F)
-- SRd - Solar radiation total for the day
-- WSa - Wind speed near sunrise (using 09-12 UTC forecast mode)
-- WSp - Wind speed mid-day (using 15-21 UTC forecast mode) 

5. Number of Instances: 2536

6. Number of Attributes: 73

7. Attribute Information:
1,0 | two classes 1: ozone day, 0: normal day"
307,vowel,"**Author**: Peter Turney (peter@ai.iit.nrc.ca)   
**Source**: [UCI](https://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/connectionist-bench/vowel/) - date unknown  
**Please cite**: [UCI citation policy](https://archive.ics.uci.edu/ml/citation_policy.html)

**Vowel Recognition (Deterding data)**
Speaker independent recognition of the eleven steady state vowels of British English using a specified training set of lpc derived log area ratios.
Collected by David Deterding (data and non-connectionist analysis), Mahesan Niranjan (first connectionist analysis), Tony Robinson (description, program, data, and results)

A very comprehensive description including comments by the authors can be found [here](https://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/connectionist-bench/vowel/vowel.names)

The problem is specified by the accompanying data file, ""vowel.data"".  This
consists of a three dimensional array: voweldata [speaker, vowel, input].
The speakers are indexed by integers 0-89.  (Actually, there are fifteen
individual speakers, each saying each vowel six times.)  The vowels are
indexed by integers 0-10.  For each utterance, there are ten floating-point
input values, with array indices 0-9.

The problem is to train the network as well as possible using only on data
from ""speakers"" 0-47, and then to test the network on speakers 48-89,
reporting the number of correct classifications in the test set.

For a more detailed explanation of the problem, see the excerpt from Tony
Robinson's Ph.D. thesis in the COMMENTS section.  In Robinson's opinion,
connectionist problems fall into two classes, the possible and the
impossible.  He is interested in the latter, by which he means problems
that have no exact solution.  Thus the problem here is not to see how fast
a network can be trained (although this is important), but to maximise a
less than perfect performance.

#### METHODOLOGY

Report the number of test vowels classified correctly, (i.e. the number of
occurences when distance of the correct output to the actual output was the
smallest of the set of distances from the actual output to all possible
target outputs).

Though this is not the focus of Robinson's study, it would also be useful
to report how long the training took (measured in pattern presentations or
with a rough count of floating-point operations required) and what level of
success was achieved on the training and testing data after various amounts
of training.  Of course, the network topology and algorithm used should be
precisely described as well.

#### VARIATIONS

This benchmark is proposed to encourage the exploration of different node
types.  Please theorise/experiment/hack.  The author (Robinson) will try to
correspond by email if requested.  In particular there has been some
discussion recently on the use of a cross-entropy distance measure, and it
would be interesting to see results for that.

#### Notes

1. Each of these numbers is based on a single trial with random starting
weights.  More trials would of course be preferable, but the computational
facilities available to Robinson were limited.

2. Graphs are given in Robinson's thesis showing test-set performance vs.
epoch count for some of the training runs.  In most cases, performance
peaks at around 250 correct, after which performance decays to different
degrees.  The numbers given above are final performance figures after about
3000 trials, not the peak performance obtained during the run.

#### REFERENCES

[Deterding89] D. H. Deterding, 1989, University of Cambridge, ""Speaker
 Normalisation for Automatic Speech Recognition"", submitted for PhD.

[NiranjanFallside88] M. Niranjan and F. Fallside, 1988, Cambridge University
 Engineering Department, ""Neural Networks and Radial Basis Functions in
 Classifying Static Speech Patterns"", CUED/F-INFENG/TR.22.

[RenalsRohwer89-ijcnn] Steve Renals and Richard Rohwer, ""Phoneme
 Classification Experiments Using Radial Basis Functions"", Submitted to
 the International Joint Conference on Neural Networks, Washington,
 1989.

[RabinerSchafer78] L. R. Rabiner and R. W. Schafer, Englewood Cliffs, New
 Jersey, 1978, Prentice Hall, ""Digital Processing of Speech Signals"".

[PragerFallside88] R. W. Prager and F. Fallside, 1988, Cambridge University
 Engineering Department, ""The Modified Kanerva Model for Automatic
 Speech Recognition"", CUED/F-INFENG/TR.6.

[BroomheadLowe88] D. Broomhead and D. Lowe, 1988, Royal Signals and Radar
 Establishment, Malvern, ""Multi-variable Interpolation and Adaptive
 Networks"", RSRE memo, #4148.

[RobinsonNiranjanFallside88-tr] A. J. Robinson and M. Niranjan and F. 
   Fallside, 1988, Cambridge University Engineering Department,
 ""Generalising the Nodes of the Error Propagation Network"",
 CUED/F-INFENG/TR.25.

[Robinson89] A. J. Robinson, 1989, Cambridge University Engineering
 Department, ""Dynamic Error Propagation Networks"".

[McCullochAinsworth88] N. McCulloch and W. A. Ainsworth, Proceedings of
 Speech'88, Edinburgh, 1988, ""Speaker Independent Vowel Recognition
 using a Multi-Layer Perceptron"".

[RobinsonFallside88-neuro] A. J. Robinson and F. Fallside, 1988, Proceedings
 of nEuro'88, Paris, June, ""A Dynamic Connectionist Model for Phoneme
 Recognition.


#### Notes
* This is version 2. Version 1 is hidden because it includes a feature dividing the data in train and test set. In OpenML this information is explicitly available in the corresponding task."
308,puma32H,"**Author**:   
  
**Source**: Unknown -   
**Please cite**:   

This is one of a family of datasets synthetically generated from a realistic simulation of the dynamics of a Unimation Puma 560 robot arm. There are eight datastets in this family . In this repository we only have two of them. They are all variations on the same model; a realistic simulation of the dynamics of a Puma 560 robot arm. The task in these datasets is to predict the angular accelaration of one of the robot arm's links. The inputs include angular positions, velocities and torques of the robot arm. The family has been specifically generated for the delve environment and so the individual datasets span the corners of a cube whose dimensions represent:

Number of inputs 32 
degree of non-linearity (fairly linear or non-linear) 
amount of noise in the output (moderate or high). 

Source: collection of regression datasets by Luis Torgo (torgo@ncc.up.pt) at
http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
Original Source: DELVE repository of data. 
Characteristics: 8192 (4500+3692) cases, 33 continuous variables."
310,mammography,"**Author**:   
  
**Source**: Unknown -   
**Please cite**:   

Mammography dataset

Past Usage:
1. Woods, K., Doss, C., Bowyer, K., Solka, J., Priebe, C.,"
311,oil_spill,"**Author**:   
  
**Source**: Unknown -   
**Please cite**:   

Oil dataset

Past Usage:
1. Kubat, M., Holte, R.,"
312,scene,"**Author**: Matthew R. Boutell, Jiebo Luo, Xipeng Shen, and Christopher M. Brown.  
**Source**: [Mulan](http://mulan.sourceforge.net/datasets-mlc.html)     
**Please cite**: 

### Description

Scene recognition dataset - It contains characteristics about images and their classes. 
The original dataset is a multi-label classification problem with 6 different labels: {Beach, Sunset, FallFoliage, Field, Mountain, Urban}.
The current dataset is a binary classification problem considering just the 'Urban' label.

### Sources

Matthew R. Boutell, Jiebo Luo, Xipeng Shen, and Christopher M. Brown.
Learning multi-label scene classification.
Pattern Recognition, 37(9):1757-1771, 2004. 

### Dataset Information

Multi-label classification problem, based on real-world images.   
Instances: 2407    
Features: 294 numerical features with values between [0,1]   
Classes/Labels: 2 {Urban, Nor Urban}   
No missing values"
313,spectrometer,"**Author**:   
  
**Source**: Unknown - 1988  
**Please cite**:   

1. Title: Part of the IRAS Low Resolution Spectrometer Database
 
2. Sources:
(a) Originator: Infra-Red Astronomy Satellite Project Database
(b) Donor: John Stutz <STUTZ@pluto.arc.nasa.gov> 
(c) Date: March 1988 (approximately)

3. Past Usage: unknown
-- A NASA-Ames research group concerned with unsupervised learning tasks may have used this database during their empirical studies of their algorithm/system (AUTOCLASS II).  See the 1988 Machine Learning Conference Proceedings, 54-64, for a description of their algorithm.

4. Relevant Information: (from John Stutz)
 The Infra-Red Astronomy Satellite (IRAS) was the first attempt to map the full sky at infra-red wavelengths.  This could not be done from ground observatories because large portions of the infra-red spectrum is absorbed by the atmosphere.  The primary observing program was the full high resolution sky mapping performed by scanning at 4 frequencies. The Low Resolution Observation (IRAS-LRS) program observed high intensity sources over two continuous spectral bands.  This database derives from a subset of the higher quality LRS observations taken between 12h and 24h right ascension. 
This database contains 531 high quality spectra derived from the IRAS-LRS database.  The original data contained 100 spectral measurements in each of two overlapping bands.  Of these, 44 blue band and 49 red band channels contain usable flux measurements.  Only these are included here.  The original spectral intensities values are compressed to 4-digits, and each spectrum includes 5 rescaling parameters.  We have used the LRS specified algorithm to rescale these to units of spectral intensity (Janskys).  Total intensity differences have been eliminated by normalizing each spectrum to a mean value of 5000.
This database was originally obtained for use in development and testing of our AutoClass system for Bayesian classification.  We have not retained any results from this development, having concentrated our efforts of a 5425 element version of the same data.  Our classifications were based upon simultaneous modeling of all 93 spectral intensities. With the larger database we were able to find classes that correspond well with known spectral types associated with particular stellar types. We also found classes that match with the spectra expected of certain stellar processes under investigation by Ames astronomers.  These classes have considerably enlarged the set of stars being investigated by those researchers.  

Original Data
The original fortran data file is given in spectra-2.data.  The file spectra-2.head contains information about the .data file contents and how to rescale the compressed spectral intensities. 

5. Number of Instances: 531
 
6. Number of Attributes: 103 (including the 10-attribute ""header"")
 
7. Attribute Information: 
1. LRS-name: (Suspected format: 5 digits, ""+"" or ""-"", 4 digits)
2. LRS-class: integer - The LRS-class values range from 0 - 99 with
the 10's digit giving the basic class and the 1's digit giving the subclass. These classes are based on features (peaks, valleys, and trends) of the spectral curves.  
3. ID-type: integer
4. Right-Ascension: float - Astronomical longitude. 1h = 15deg
5. Declination: float - Astronomical lattitude. -90 <= Dec <= 90
6. Scale Factor: float - Proportional to source strength
7. Blue base 1: integer - linear rescaling coefficient
8. Blue base 2: integer - linear rescaling coefficient
9. Red base 1: integer - linear rescaling coefficient
10. Red base 2: integer - linear rescaling coefficient
11-54: fluxes from the following 44 blue-band channel wavelengths: 
(all given as floating point numerals)
55-103: fluxes from the following 49 red-band channel wavelengths:  (all given as floating point numerals)

UCI: http://archive.ics.uci.edu/ml/datasets/Low+Resolution+Spectrometer"
315,us_crime,"**Author**:   
  
**Source**: Unknown - 2009  
**Please cite**:   

Title: Communities and Crime
 
Abstract: Communities within the United States. The data combines socio-economic data from the 1990 US Census, law enforcement data from the 1990 US LEMAS survey, and crime data from the 1995 FBI UCR.

Data Set Characteristics:  Multivariate
Attribute Characteristics: Real
Associated Tasks: Regression
Number of Instances: 1994
Number of Attributes: 128
Missing Values? Yes
Area: Social
Date Donated: 2009-07-13
 
Source:
Creator: Michael Redmond (redmond 'at' lasalle.edu); Computer Science; La Salle 
University; Philadelphia, PA, 19141, USA
-- culled from 1990 US Census, 1995 US FBI Uniform Crime Report, 1990 US Law Enforcement Management and Administrative Statistics Survey, available from ICPSR at U of Michigan.
-- Donor: Michael Redmond (redmond 'at' lasalle.edu); Computer Science; La Salle University; Philadelphia, PA, 19141, USA
-- Date: July 2009

Data Set Information:
Many variables are included so that algorithms that select or learn weights for attributes could be tested. However, clearly unrelated attributes were not included; attributes were picked if there was any plausible connection to crime (N=122), plus the attribute to be predicted (Per Capita Violent Crimes). The variables included in the dataset involve the community, such as the percent of the population considered urban, and the median family income, and involving law enforcement, such as per capita number of police officers, and percent of officers assigned to drug units. The per capita violent crimes variable was calculated using population and the sum of crime variables considered violent crimes in the United States: murder, rape, robbery, and assault. There was apparently some controversy in some states concerning the counting of rapes. These resulted in missing values for rape, which resulted in incorrect values for per capita violent crime. These cities are not included in the dataset. Many of these omitted communities were from the midwestern USA. Data is described below based on original values. All numeric data was normalized into the decimal range 0.00-1.00 using an Unsupervised, equal-interval binning method. 
Attributes retain their distribution and skew (hence for example the population 
attribute has a mean value of 0.06 because most communities are small). E.g. An attribute described as 'mean people per household' is actually the normalized (0-1) version of that value. The normalization preserves rough ratios of values WITHIN an attribute (e.g. double the value for double the population within the available precision - except for extreme values (all values more than 3 SD above the mean are normalized to 1.00; all values more than 3 SD below the mean are nromalized to 0.00)).

However, the normalization does not preserve relationships between values BETWEEN attributes (e.g. it would not be meaningful to compare the value for whitePerCap with the value for blackPerCap for a community)
A limitation was that the LEMAS survey was of the police departments with at least 100 officers, plus a random sample of smaller departments. For our purposes, communities not found in both census and crime datasets were omitted. Many communities are missing LEMAS data."
316,yeast_ml8,"**Author**:   
  
**Source**: Unknown -   
**Please cite**:   

Yeast dataset

Past Usage:
André Elisseeff and Jason Weston.
A kernel method for multi-labelled classification.
In Thomas G. Dietterich, Susan Becker, and Zoubin Ghahramani, editors, Advances in Neural Information Processing Systems 14, 2002."
327,bridges,"**Author**: Yoram Reich"",""Steven J. Fenves  
  
**Source**: [original](http://openml.org/d/17) -   
**Please cite**:   

Pittsburgh bridges  

This version is derived from version 1 by removing all instances with missing values in the last (target) attribute. The bridges dataset is originally not a classification dataset, put is used so extensively in the literature, using the last attribute as the target attribute. However, this attribute has missing values, which may lead to confusing benchmarking result. Therefore, these instances have been removed. 

Sources: 
-- Yoram Reich and Steven J. Fenves Department of Civil Engineering and Engineering Design Research Center Carnegie Mellon University Pittsburgh, PA 15213  Compiled from various sources.  
-- Date: 1 August 1990  

Attribute Information:   The type field state whether a property is continuous/integer (c)  or nominal (n). For properties with c,n type, the range of continuous numbers is given  first and the possible values of the nominal follow the semi-colon.   

name type possible values comments 
------------------------------------------------------------------------ 
1. IDENTIF - - identifier of the examples 
2. RIVER n A, M, O 
3. LOCATION n 1 to 52 
4. ERECTED c,n 1818-1986 -  CRAFTS, EMERGING, MATURE, MODERN 
5. PURPOSE n WALK, AQUEDUCT, RR, HIGHWAY 
6. LENGTH c,n 804-4558 - SHORT, MEDIUM, LONG 
7. LANES c,n 1, 2, 4, 6 - 1, 2, 4, 6 
8. CLEAR-G n N, G 
9. T-OR-D n THROUGH, DECK 
10. MATERIAL n WOOD, IRON, STEEL 
11. SPAN n SHORT, MEDIUM, LONG 
12. REL-L n S, S-F, F 
13. TYPE n WOOD, SUSPEN, SIMPLE-T, ARCH, CANTILEV, CONT-T"
328,bridges,"**Author**: Yoram Reich"",""Steven J. Fenves  
  
**Source**: [original](http://openml.org/d/19) -   
**Please cite**:   

Pittsburgh bridges  

This version is derived from version 2 (the discretized version) by removing all instances with missing values in the last (target) attribute. The bridges dataset is originally not a classification dataset, put is used so extensively in the literature, using the last attribute as the target attribute. However, this attribute has missing values, which may lead to confusing benchmarking result. Therefore, these instances have been removed. 

Sources: 
-- Yoram Reich and Steven J. Fenves Department of Civil Engineering and Engineering Design Research Center Carnegie Mellon University Pittsburgh, PA 15213  Compiled from various sources.  
-- Date: 1 August 1990  

Attribute Information:   The type field state whether a property is continuous/integer (c)  or nominal (n). For properties with c,n type, the range of continuous numbers is given  first and the possible values of the nominal follow the semi-colon.   

name type possible values comments 
------------------------------------------------------------------------ 
1. IDENTIF - - identifier of the examples 
2. RIVER n A, M, O 
3. LOCATION n 1 to 52 
4. ERECTED c,n 1818-1986 -  CRAFTS, EMERGING, MATURE, MODERN 
5. PURPOSE n WALK, AQUEDUCT, RR, HIGHWAY 
6. LENGTH c,n 804-4558 - SHORT, MEDIUM, LONG 
7. LANES c,n 1, 2, 4, 6 - 1, 2, 4, 6 
8. CLEAR-G n N, G 
9. T-OR-D n THROUGH, DECK 
10. MATERIAL n WOOD, IRON, STEEL 
11. SPAN n SHORT, MEDIUM, LONG 
12. REL-L n S, S-F, F 
13. TYPE n WOOD, SUSPEN, SIMPLE-T, ARCH, CANTILEV, CONT-T"
329,hayes-roth,"**Author**: Barbara and Frederick Hayes-Roth  
  
**Source**: [original](https://archive.ics.uci.edu/ml/datasets/Hayes-Roth) -   
**Please cite**:   

Hayes-Roth Database

This is a merged version of the separate train and test set which are usually distributed. On OpenML this train-test split can be found as one of the possible tasks.

Source Information: 
(a) Creators: Barbara and Frederick Hayes-Roth 
(b) Donor: David W. Aha (aha@ics.uci.edu) (714) 856-8779  
(c) Date: March, 1989  

Attribute Information: 
-- 1. name: distinct for each instance and represented numerically 
-- 2. hobby: nominal values ranging between 1 and 3 
-- 3. age: nominal values ranging between 1 and 4 
-- 4. educational level: nominal values ranging between 1 and 4 
-- 5. marital status: nominal values ranging between 1 and 4 
-- 6. class: nominal value between 1 and 3  

Detailed description of the experiment: 
1. 3 categories (1, 2, and neither -- which I call 3) 
-- some of the instances could be classified in either class 1 or 2, and they have been evenly distributed between the two classes 
2. 5 Attributes 
-- A. name (a randomly-generated number between 1 and 132) 
-- B. hobby (a randomly-generated number between 1 and 3) 
-- C. age (a number between 1 and 4) 
-- D. education level (a number between 1 and 4) 
-- E. marital status (a number between 1 and 4) 
3. Classification:  
-- only attributes C-E are diagnostic; values for A and B are ignored 
-- Class Neither: if a 4 occurs for any attribute C-E 
-- Class 1: Otherwise, if (# of 1's)>(# of 2's) for attributes C-E 
-- Class 2: Otherwise, if (# of 2's)>(# of 1's) for attributes C-E 
-- Either 1 or 2: Otherwise, if (# of 2's)=(# of 1's) for attributes C-E 
4. Prototypes: 
-- Class 1: 111 
-- Class 2: 222 
-- Class Either: 333 
-- Class Neither: 444"
333,monks-problems-1,"**Author**: Sebastian Thrun (Carnegie Mellon University)  
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/MONK's+Problems) - October 1992  
**Please cite**: [UCI](https://archive.ics.uci.edu/ml/citation_policy.html)   

**The Monk's Problems: Problem 1**  
Once upon a time, in July 1991, the monks of Corsendonk Priory were faced with a school held in their priory, namely the 2nd European Summer School on Machine Learning. After listening more than one week to a wide variety of learning algorithms, they felt rather confused: Which algorithm would be optimal? And which one to avoid? As a consequence of this dilemma, they created a simple task on which all learning algorithms ought to be compared: the three MONK's problems.

The target concept associated with the 1st Monk's problem is the binary outcome of the logical formula:  
MONK-1: (a1 == a2) or (a5 == 1)

In this dataset, the original train and test sets were merged to allow other sampling procedures. However, the original train-test splits can be found as one of the OpenML tasks. 

### Attribute information: 
* attr1: 1, 2, 3 
* attr2: 1, 2, 3 
* attr3: 1, 2 
* attr4: 1, 2, 3 
* attr5: 1, 2, 3, 4 
* attr6: 1, 2 

### Relevant papers  
The MONK's Problems - A Performance Comparison of Different Learning Algorithms, by S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michalski, T. Mitchell, P. Pachowicz, Y. Reich H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang. Technical Report CS-CMU-91-197, Carnegie Mellon University, Dec. 1991."
334,monks-problems-2,"**Author**: Sebastian Thrun (Carnegie Mellon University)  
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/MONK's+Problems) - October 1992  
**Please cite**: [UCI](https://archive.ics.uci.edu/ml/citation_policy.html)   

**The Monk's Problems: Problem 2**  
Once upon a time, in July 1991, the monks of Corsendonk Priory were faced with a school held in their priory, namely the 2nd European Summer School on Machine Learning. After listening more than one week to a wide variety of learning algorithms, they felt rather confused: Which algorithm would be optimal? And which one to avoid? As a consequence of this dilemma, they created a simple task on which all learning algorithms ought to be compared: the three MONK's problems.

The target concept associated with the 2nd Monk's problem is the binary outcome of the logical formula:  
MONK-2: EXACTLY TWO of {a1 = 1, a2 = 1, a3 = 1, a4 = 1, a5 = 1, a6 = 1}

In this dataset, the original train and test sets were merged to allow other sampling procedures. However, the original train-test splits can be found as one of the OpenML tasks. 

### Attribute information: 
* attr1: 1, 2, 3 
* attr2: 1, 2, 3 
* attr3: 1, 2 
* attr4: 1, 2, 3 
* attr5: 1, 2, 3, 4 
* attr6: 1, 2 

### Relevant papers  
The MONK's Problems - A Performance Comparison of Different Learning Algorithms, by S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michalski, T. Mitchell, P. Pachowicz, Y. Reich H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang. Technical Report CS-CMU-91-197, Carnegie Mellon University, Dec. 1991."
335,monks-problems-3,"**Author**: Sebastian Thrun (Carnegie Mellon University)  
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/MONK's+Problems) - October 1992  
**Please cite**: [UCI](https://archive.ics.uci.edu/ml/citation_policy.html)   

**The Monk's Problems: Problem 3**  
Once upon a time, in July 1991, the monks of Corsendonk Priory were faced with a school held in their priory, namely the 2nd European Summer School on Machine Learning. After listening more than one week to a wide variety of learning algorithms, they felt rather confused: Which algorithm would be optimal? And which one to avoid? As a consequence of this dilemma, they created a simple task on which all learning algorithms ought to be compared: the three MONK's problems.

The target concept associated with the 3rd Monk's problem is the binary outcome of the logical formula:  
MONK-3: (a5 = 3 and a4 = 1) or (a5 /= 4 and a2 /= 3)  
In addition, 5% class noise was added to the training set

In this dataset, the original train and test sets were merged to allow other sampling procedures. However, the original train-test splits can be found as one of the OpenML tasks. 

### Attribute information: 
* attr1: 1, 2, 3 
* attr2: 1, 2, 3 
* attr3: 1, 2 
* attr4: 1, 2, 3 
* attr5: 1, 2, 3, 4 
* attr6: 1, 2 

### Relevant papers  
The MONK's Problems - A Performance Comparison of Different Learning Algorithms, by S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michalski, T. Mitchell, P. Pachowicz, Y. Reich H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang. Technical Report CS-CMU-91-197, Carnegie Mellon University, Dec. 1991."
336,SPECT,"**Author**: Krzysztof J. Cios"",""Lukasz A.  
**Source**: [original](https://archive.ics.uci.edu/ml/datasets/SPECT+Heart) -   
**Please cite**:   

SPECT heart data

This is a merged version of the separate train and test set which are usually distributed. On OpenML this train-test split can be found as one of the possible tasks.  

Sources: 
-- Original owners: Krzysztof J. Cios, Lukasz A. Kurgan University of Colorado at Denver, Denver, CO 80217, U.S.A. Krys.Cios@cudenver.edu Lucy S. Goodenday Medical College of Ohio, OH, U.S.A.  
-- Donors: Lukasz A.Kurgan, Krzysztof J. Cios 
-- Date: 10/01/01  

Relevant Information: The dataset describes diagnosing of cardiac Single Proton Emission Computed Tomography (SPECT) images.  Each of the patients is classified into two categories: normal and abnormal.  The database of 267 SPECT image sets (patients) was processed to extract features that summarize the original SPECT images.  As a result, 44 continuous feature pattern was created for each patient. The pattern was further processed to obtain 22 binary feature patterns. The CLIP3 algorithm was used to generate classification rules from these patterns. The CLIP3 algorithm generated rules that were 84.0% accurate (as compared with cardiologists' diagnoses).   

Attribute Information: 
1. OVERALL_DIAGNOSIS: 0,1 (class attribute, binary) 
2. F1: 0,1 (the partial diagnosis 1, binary) 
3. F2: 0,1 (the partial diagnosis 2, binary) 
4. F3: 0,1 (the partial diagnosis 3, binary) 
5. F4: 0,1 (the partial diagnosis 4, binary) 
6. F5: 0,1 (the partial diagnosis 5, binary) 
7. F6: 0,1 (the partial diagnosis 6, binary) 
8. F7: 0,1 (the partial diagnosis 7, binary) 
9. F8: 0,1 (the partial diagnosis 8, binary) 
10. F9: 0,1 (the partial diagnosis 9, binary) 
11. F10: 0,1 (the partial diagnosis 10, binary) 
12. F11: 0,1 (the partial diagnosis 11, binary) 
13. F12: 0,1 (the partial diagnosis 12, binary) 
14. F13: 0,1 (the partial diagnosis 13, binary) 
15. F14: 0,1 (the partial diagnosis 14, binary) 
16. F15: 0,1 (the partial diagnosis 15, binary) 
17. F16: 0,1 (the partial diagnosis 16, binary) 
18. F17: 0,1 (the partial diagnosis 17, binary) 
19. F18: 0,1 (the partial diagnosis 18, binary) 
20. F19: 0,1 (the partial diagnosis 19, binary) 
21. F20: 0,1 (the partial diagnosis 20, binary) 
22. F21: 0,1 (the partial diagnosis 21, binary) 
23. F22: 0,1 (the partial diagnosis 22, binary)"
337,SPECTF,"**Author**: Krzysztof J. Cios"",""Lukasz A.  
**Source**: [original](https://archive.ics.uci.edu/ml/datasets/SPECTF+Heart) -   
**Please cite**:   

SPECTF heart data

This is a merged version of the separate train and test set which are usually distributed. On OpenML this train-test split can be found as one of the possible tasks.  

NOTE: See the SPECT heart data for binary data for the same classification task.

Sources: 
-- Original owners: Krzysztof J. Cios, Lukasz A. Kurgan University of Colorado at Denver, Denver, CO 80217, U.S.A. Krys.Cios@cudenver.edu Lucy S. Goodenday Medical College of Ohio, OH, U.S.A. 
-- Donors: Lukasz A.Kurgan, Krzysztof J. Cios 
-- Date: 10/01/01  

Relevant Information: The dataset describes diagnosing of cardiac Single Proton Emission Computed Tomography (SPECT) images. Each of the patients is classified into two categories: normal and abnormal. The database of 267 SPECT image sets (patients) was processed to extract features that summarize the original SPECT images. As a result, 44 continuous feature pattern was created for each patient. The CLIP3 algorithm was used to generate classification rules from these patterns. The CLIP3 algorithm generated rules that were 77.0% accurate (as compared with cardiologists' diagnoses)."
